player_name,shots,actual_makes,expected_makes,actual_fg_pct,expected_fg_pct,makes_above_expected,fg_pct_above_expected
gordon hayward,867,389,382.89832,0.4486735870818916,0.44163588,6.1016845703125,0.007037710187894397
kyle oquinn,209,103,97.08676,0.49282296650717705,0.46452996,5.913238525390625,0.028293005159597095
wesley johnson,472,197,191.19154,0.4173728813559322,0.40506682,5.8084564208984375,0.012306063357046093
travis wear,162,68,62.468655,0.41975308641975306,0.38560897,5.531345367431641,0.03414411530082606
shawne williams,238,102,96.5328,0.42857142857142855,0.40559998,5.467201232910156,0.02297144702502657
gerald green,630,257,251.71469,0.40793650793650793,0.39954713,5.285308837890625,0.008389378067046871
pj tucker,408,185,179.7157,0.4534313725490196,0.44047967,5.2843017578125,0.012951706554375442
ben mclemore,582,255,249.7579,0.4381443298969072,0.4291373,5.242095947265625,0.009007040372828845
jeremy lamb,224,94,88.80695,0.41964285714285715,0.3964596,5.193046569824219,0.023183247872761326
nick young,473,174,168.85043,0.3678646934460888,0.35697767,5.149566650390625,0.010887022061277396
nene hilario,479,251,246.01672,0.524008350730689,0.5136049,4.9832763671875,0.010403471351416504
kevin garnett,301,140,135.71852,0.46511627906976744,0.4508921,4.2814788818359375,0.014224188272343119
tobias harris,715,331,326.82336,0.46293706293706294,0.45709562,4.1766357421875,0.005841439920705516
marco belinelli,324,141,136.91374,0.4351851851851852,0.42257327,4.0862579345703125,0.012611916771641474
carl landry,287,146,141.9884,0.5087108013937283,0.49473312,4.0115966796875,0.013977676422338492
caron butler,290,112,108.256805,0.38620689655172413,0.37329933,3.743194580078125,0.012907566078777966
donald sloan,338,139,135.40884,0.41124260355029585,0.40061787,3.591156005859375,0.010624735842089672
danny green,556,237,233.62395,0.4262589928057554,0.42018697,3.3760528564453125,0.00607202614811686
jared sullinger,665,298,294.74466,0.4481203007518797,0.44322506,3.255340576171875,0.004895244818881039
tony parker,560,257,253.9483,0.4589285714285714,0.4534791,3.05169677734375,0.005449460233960812
reggie jackson,659,277,274.2246,0.4203338391502276,0.41612232,2.775390625,0.004211521836079646
greivis vasquez,543,221,218.24188,0.40699815837937386,0.40191874,2.75811767578125,0.005079419298944787
blake griffin,893,447,444.50916,0.5005599104143337,0.4977706,2.4908447265625,0.002789302942867611
quincy acy,235,111,108.51165,0.4723404255319149,0.4617517,2.4883499145507812,0.010588726084283073
mike conley,727,325,322.5173,0.4470426409903714,0.44362766,2.482696533203125,0.003414985484237354
jerryd bayless,403,180,177.71626,0.4466501240694789,0.4409833,2.2837371826171875,0.005666828628805076
cj watson,301,128,125.75469,0.42524916943521596,0.41778967,2.2453079223632812,0.007459501590443618
jakarr sampson,210,94,91.76883,0.44761904761904764,0.43699443,2.231170654296875,0.010624614216032502
marcin gortat,570,311,308.81638,0.5456140350877193,0.5417831,2.183624267578125,0.0038309406815913993
henry sims,423,204,201.9706,0.48226950354609927,0.47747186,2.0294036865234375,0.004797645283083518
andrew wiggins,797,348,346.0391,0.4366373902132999,0.43417704,1.960906982421875,0.002460349159527919
avery bradley,755,325,323.1522,0.4304635761589404,0.42801616,1.847808837890625,0.002447420200764716
mason plumlee,403,236,234.24821,0.5856079404466501,0.5812611,1.7517852783203125,0.0043468420617929215
robert covington,510,202,200.28374,0.396078431372549,0.39271322,1.7162628173828125,0.0033652124451655774
charlie villanueva,241,102,100.33462,0.42323651452282157,0.41632622,1.6653823852539062,0.006910289718897011
zach lavine,371,157,155.44572,0.42318059299191374,0.41899118,1.5542755126953125,0.004189414717759077
marcus thornton,316,130,128.92203,0.41139240506329117,0.4079811,1.077972412109375,0.0034113073650794967
ray mccallum,240,104,102.98699,0.43333333333333335,0.42911246,1.0130081176757812,0.004220869143803929
goran dragic,753,378,377.20435,0.50199203187251,0.5009354,0.795654296875,0.0010566561820497533
richard jefferson,237,105,104.28729,0.4430379746835443,0.44003078,0.71270751953125,0.0030071912687035796
trevor booker,327,162,161.29149,0.4954128440366973,0.49324614,0.7085113525390625,0.0021667059408415623
otto porter,284,130,129.47302,0.45774647887323944,0.45589092,0.5269775390625,0.0018555551347598231
thaddeus young,694,324,323.5207,0.4668587896253602,0.46616814,0.47930908203125,0.0006906542207734123
kyle lowry,879,364,363.52725,0.4141069397042093,0.41356912,0.472747802734375,0.0005378171513376051
john wall,874,392,391.53522,0.448512585812357,0.4479808,0.46478271484375,0.0005317944820194542
damian lillard,986,426,425.6056,0.43204868154158216,0.43164867,0.3944091796875,0.00040000991453748025
gorgui dieng,407,201,200.85443,0.49385749385749383,0.49349985,0.14556884765625,0.00035764859115167136
jon ingles,220,90,90.03624,0.4090909090909091,0.40925562,-0.0362396240234375,-0.00016471472653473151
