player_name,shots,avg_shot_dist,avg_def_dist,avg_touch_time,avg_dribbles,three_rate,makes_above_expected,cluster,archetype
al jefferson,800,9.315375,3.029875,2.62725,0.69625,0.00375,25.11898803710937,3,Interior Finishers
amare stoudemire,336,6.576190476190476,2.649404761904762,2.437797619047619,0.6636904761904762,0.008928571428571428,21.779296875,3,Interior Finishers
derrick favors,677,7.729394387001477,3.0744460856720828,1.7054652880354504,0.5805022156573116,0.0014771048744460858,18.9124755859375,3,Interior Finishers
ed davis,350,4.418571428571428,2.237142857142857,1.2128571428571429,0.35428571428571426,0.0,18.84765625,3,Interior Finishers
alexis ajinca,211,8.191943127962086,3.636018957345972,1.4165876777251183,0.3886255924170616,0.0,16.86017608642578,3,Interior Finishers
kevin seraphin,336,8.930654761904762,3.3782738095238094,2.3901785714285717,0.8690476190476191,0.002976190476190476,16.706390380859375,3,Interior Finishers
carlos boozer,620,9.858387096774193,3.484677419354839,1.9996774193548386,0.7048387096774194,0.0,15.686920166015623,3,Interior Finishers
jonas valanciunas,486,5.644444444444444,2.800617283950617,2.046707818930041,0.6934156378600823,0.0,13.12286376953125,3,Interior Finishers
amir johnson,402,6.937313432835821,3.0925373134328358,1.3895522388059702,0.5199004975124378,0.0845771144278607,12.092330932617188,3,Interior Finishers
brook lopez,631,10.050554675118859,3.7670364500792393,1.9497622820919176,0.6624405705229794,0.012678288431061807,12.05181884765625,3,Interior Finishers
rudy gobert,267,3.551310861423221,2.4243445692883894,1.0775280898876405,0.26591760299625467,0.003745318352059925,11.3616943359375,3,Interior Finishers
shaun livingston,263,9.432699619771864,3.0927756653992393,3.735361216730038,3.2699619771863118,0.0076045627376425855,11.242103576660156,3,Interior Finishers
shabazz muhammad,391,9.927365728900256,3.157289002557545,1.665217391304348,1.0127877237851663,0.13043478260869565,11.063461303710938,3,Interior Finishers
pau gasol,818,10.161246943765281,3.773105134474328,2.2944987775061128,0.910757946210269,0.019559902200488997,10.59576416015625,3,Interior Finishers
tyson chandler,340,4.130588235294118,3.222058823529412,0.8829411764705882,0.11470588235294117,0.0,9.513229370117188,3,Interior Finishers
donatas motiejunas,576,9.441493055555556,3.833854166666667,1.9012152777777775,0.8003472222222222,0.1840277777777778,9.306396484375,3,Interior Finishers
dwight howard,334,4.205688622754491,2.3907185628742513,2.4778443113772455,0.9281437125748503,0.005988023952095809,8.623550415039062,3,Interior Finishers
john henson,241,4.9684647302904565,2.6614107883817426,1.5377593360995852,0.5269709543568465,0.0,8.082443237304688,3,Interior Finishers
nene hilario,479,9.740292275574113,4.1578288100208765,2.0762004175365343,0.6304801670146137,0.010438413361169102,4.9832763671875,3,Interior Finishers
carl landry,287,9.737979094076655,3.6588850174216025,1.73205574912892,0.3797909407665505,0.0,4.0115966796875,3,Interior Finishers
marcin gortat,570,7.37561403508772,3.303859649122807,1.6721052631578948,0.49298245614035086,0.005263157894736842,2.183624267578125,3,Interior Finishers
andrew wiggins,797,12.123337515683813,3.455332496863237,2.311543287327478,1.3186951066499373,0.12672521957340024,1.960906982421875,3,Interior Finishers
mason plumlee,403,4.272952853598015,2.8176178660049627,1.5305210918114143,0.5533498759305211,0.007444168734491315,1.7517852783203125,3,Interior Finishers
thaddeus young,694,10.029250720461095,3.675792507204611,2.367867435158501,1.1945244956772334,0.10806916426512968,0.47930908203125,3,Interior Finishers
gorgui dieng,407,7.791400491400491,3.2837837837837838,2.004914004914005,0.4152334152334152,0.009828009828009828,0.14556884765625,3,Interior Finishers
dirk nowtizski,816,17.266789215686277,4.480759803921569,1.9888480392156864,0.6446078431372549,0.2549019607843137,34.133636474609375,0,Mid-Range Scorers
chris bosh,745,15.27234899328859,4.492080536912751,2.2981208053691273,0.7140939597315437,0.22550335570469798,28.87362670898437,0,Mid-Range Scorers
carmelo anthony,792,14.995707070707072,3.6273989898989902,3.2324494949494946,1.8244949494949494,0.2222222222222222,23.26205444335937,0,Mid-Range Scorers
al horford,715,11.973566433566434,4.886153846153846,1.8092307692307692,0.5370629370629371,0.04055944055944056,21.21884155273437,0,Mid-Range Scorers
khris middleton,562,15.431138790035586,4.691814946619218,1.9064056939501781,1.1708185053380782,0.302491103202847,15.939285278320312,0,Mid-Range Scorers
david west,513,13.820077972709552,4.404873294346978,1.7898635477582847,0.797270955165692,0.03313840155945419,15.04986572265625,0,Mid-Range Scorers
markieff morris,830,12.709759036144579,4.095903614457831,2.0995180722891567,0.9120481927710843,0.1746987951807229,14.570281982421877,0,Mid-Range Scorers
arron afflalo,688,16.345058139534885,3.9313953488372095,2.409302325581395,1.7325581395348837,0.376453488372093,14.1253662109375,0,Mid-Range Scorers
luol deng,567,13.377777777777778,4.151499118165785,1.8239858906525575,0.9523809523809523,0.2716049382716049,12.34906005859375,0,Mid-Range Scorers
gerald henderson,563,14.55968028419183,4.006927175843694,2.608170515097691,1.8543516873889876,0.1705150976909414,12.003860473632812,0,Mid-Range Scorers
jason smith,432,14.702314814814814,4.674305555555556,1.5395833333333333,0.32407407407407407,0.037037037037037035,10.602996826171877,0,Mid-Range Scorers
serge ibaka,735,15.380272108843537,4.934829931972789,1.3682993197278912,0.2612244897959184,0.2693877551020408,9.756591796875,0,Mid-Range Scorers
marc gasol,814,11.062285012285013,4.140540540540541,2.2988943488943487,0.8304668304668305,0.0171990171990172,8.581878662109375,0,Mid-Range Scorers
kelly olynyk,341,12.767155425219942,4.53108504398827,1.6026392961876832,0.6832844574780058,0.2961876832844575,6.821014404296875,0,Mid-Range Scorers
kyle oquinn,209,12.702392344497609,4.610047846889952,1.7684210526315791,0.4354066985645933,0.18660287081339713,5.913238525390625,0,Mid-Range Scorers
travis wear,162,16.717283950617283,4.848765432098766,1.9327160493827162,0.7407407407407407,0.14814814814814814,5.531345367431641,0,Mid-Range Scorers
kevin garnett,301,14.457142857142859,5.080398671096345,1.4601328903654485,0.3920265780730897,0.023255813953488372,4.2814788818359375,0,Mid-Range Scorers
tobias harris,715,12.186153846153847,3.8986013986013988,2.2911888111888112,1.4027972027972029,0.22657342657342658,4.1766357421875,0,Mid-Range Scorers
jared sullinger,665,13.23248120300752,4.192631578947369,1.9281203007518797,0.762406015037594,0.26015037593984963,3.255340576171875,0,Mid-Range Scorers
