player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
kyle lowry,879,364,828,363.52725,0.4141069397042093,0.4709897610921502,0.4135691151277197,0.0005378245764895984,195.0,196.0,126.0,69.0,70.0
marco belinelli,324,141,337,136.91374,0.4351851851851852,0.5200617283950617,0.4225732779797213,0.012611907205463901,157.0,74.0,88.0,69.0,-14.0
danny green,556,237,610,233.62395,0.4262589928057554,0.5485611510791367,0.4201869552941631,0.006072037511592299,172.0,33.0,103.0,69.0,-70.0
trey burke,783,294,684,306.58047,0.37547892720306514,0.4367816091954023,0.3915459448959331,-0.016067017692867946,248.0,247.0,181.0,67.0,66.0
zach lavine,371,157,337,155.44572,0.42318059299191374,0.45417789757412397,0.4189911711248105,0.004189421867103249,179.0,227.0,113.0,66.0,114.0
mirza teletovic,318,122,306,126.339386,0.3836477987421384,0.4811320754716981,0.3972936666236733,-0.013645867881534934,240.0,175.0,176.0,64.0,-1.0
kemba walker,695,278,622,283.4912,0.4,0.4474820143884892,0.4079010229316547,-0.007901022931654678,222.0,236.0,162.0,60.0,74.0
chris paul,885,425,947,374.00665,0.480225988700565,0.5350282485875706,0.4226063873808263,0.0576196013197387,67.0,52.0,9.0,58.0,43.0
jrue holiday,508,226,499,218.08853,0.4448818897637795,0.4911417322834646,0.42930813286248154,0.015573756901297975,134.0,146.0,81.0,53.0,65.0
ben mclemore,582,255,613,249.7579,0.4381443298969072,0.5266323024054983,0.42913729218682883,0.00900703771007838,149.0,65.0,97.0,52.0,-32.0
ryan anderson,651,266,643,269.77106,0.40860215053763443,0.49385560675883255,0.41439486502136136,-0.005792714483726924,205.0,129.0,153.0,52.0,-24.0
darren collison,550,260,580,237.89207,0.4727272727272727,0.5272727272727272,0.432531044699929,0.04019622802734374,75.0,63.0,24.0,51.0,39.0
jason smith,432,195,396,184.397,0.4513888888888889,0.4583333333333333,0.42684491475423175,0.024543974134657143,112.0,220.0,62.0,50.0,158.0
ray mccallum,240,104,222,102.98699,0.43333333333333335,0.4625,0.4291124661763509,0.004220867156982444,159.0,213.0,111.0,48.0,102.0
kyle korver,478,235,646,189.36072,0.4916317991631799,0.6757322175732218,0.39615212923313287,0.09547966993004703,51.0,3.0,3.0,48.0,0.0
kyrie irving,942,439,998,410.50192,0.46602972399150744,0.529723991507431,0.435776987905968,0.03025273608553941,88.0,61.0,41.0,47.0,20.0
devin harris,431,175,430,179.17917,0.4060324825986079,0.4988399071925754,0.4157289297010948,-0.009696447102486905,212.0,113.0,166.0,46.0,-53.0
avery bradley,755,325,741,323.1522,0.4304635761589404,0.49072847682119203,0.428016147234582,0.002447428924358397,167.0,149.0,121.0,46.0,28.0
dwayne wade,703,331,677,307.35922,0.47083926031294454,0.48150782361308675,0.4372108426914785,0.03362841762146607,80.0,172.0,34.0,46.0,138.0
shane larkin,278,118,265,118.210785,0.4244604316546763,0.4766187050359712,0.4252186507629834,-0.0007582191083070899,176.0,186.0,131.0,45.0,55.0
jj redick,649,299,738,281.34738,0.46070878274268107,0.5685670261941448,0.43350906254514154,0.027199720197539523,101.0,15.0,56.0,45.0,-41.0
